-DOCSTART- -X- O
Pangandoy -X- _ O
ko -X- _ O
mag -X- _ O
crispy -X- _ B-LOC
king -X- _ I-LOC
! -X- _ O

Sent -X- _ O
to -X- _ O
us -X- _ O
by -X- _ O
a -X- _ O
concern -X- _ O
citizen. -X- _ O
Gamay -X- _ O
nalang -X- _ O
kulang -X- _ O
ma -X- _ O
actionan -X- _ O
na. -X- _ O
PAHIBALO -X- _ O
? -X- _ O
? -X- _ O
? -X- _ O
? -X- _ O
WALA -X- _ O
MI -X- _ O
KABALO -X- _ O
IF -X- _ O
SA -X- _ O
CITY -X- _ O
ENGINEERS -X- _ O
NI -X- _ O
NGA -X- _ O
TRABAHO -X- _ O
OR -X- _ O
WATER -X- _ B-LOC
DISTRICT -X- _ I-LOC
? -X- _ O
? -X- _ O
? -X- _ O
? -X- _ O
? -X- _ O
? -X- _ O
ALAYUN -X- _ O
MI -X- _ O
UG -X- _ O
ACTION -X- _ O
ANI -X- _ O
? -X- _ O
? -X- _ O
LOCATION -X- _ O
: -X- _ O
WEST -X- _ B-LOC
CITY -X- _ I-LOC
ELEMENTARY -X- _ I-LOC
SCHOOL -X- _ I-LOC
CROSSING -X- _ I-LOC
PADULONG -X- _ O
M.Y -X- _ B-LOC
HOTEL -X- _ I-LOC
INTAWUN -X- _ O
MAKA -X- _ O
DISGRASYA -X- _ O
KAAYO -X- _ O
NI. -X- _ O
GAMAY -X- _ O
NALANG -X- _ O
ANG -X- _ O
KULANG -X- _ O
MA -X- _ O
IROG -X- _ O
NAJUD -X- _ O
NG -X- _ O
TABON. -X- _ O
BALI -X- _ O
RABA -X- _ O
JUNG -X- _ O
LALUMA -X- _ O
SA -X- _ O
BANGAG. -X- _ O
DLI -X- _ O
UNTA -X- _ O
TA -X- _ O
MAGPA -X- _ O
ABUT -X- _ O
NAAY -X- _ O
MA -X- _ O
DISGRASYA -X- _ O
LABI -X- _ O
NAG -X- _ O
DLI -X- _ O
PD -X- _ O
MU -X- _ O
WILLING -X- _ O
MO -X- _ O
BAYAD -X- _ O
PANG -X- _ O
HOSPITAL. -X- _ O
DAGHANG -X- _ O
SALAMAT -X- _ O
! -X- _ O

Hi -X- _ O
admin.. -X- _ O
ganahan -X- _ O
ra -X- _ O
ko -X- _ O
clarification -X- _ O
jud. -X- _ O
Naa -X- _ O
man -X- _ O
gud -X- _ O
establishment -X- _ O
duol -X- _ O
sa -X- _ O
west -X- _ B-LOC
city -X- _ I-LOC
bah -X- _ O
nya -X- _ O
layhan -X- _ O
unta -X- _ O
mo -X- _ O
magpaayu -X- _ O
sa -X- _ O
among -X- _ O
gamit -X- _ O
so -X- _ O
ni -X- _ O
attempt -X- _ O
mi -X- _ O
ug -X- _ O
parking -X- _ O
sa -X- _ O
ilang -X- _ O
atubangan -X- _ O
kay -X- _ O
vacant -X- _ O
man -X- _ O
siya. -X- _ O
now -X- _ O
ang -X- _ O
problema -X- _ O
ni -X- _ O
ana -X- _ O
tung -X- _ O
tag -X- _ O
bantay -X- _ O
dili -X- _ O
nila -X- _ O
pa -X- _ O
parkingan -X- _ O
ug -X- _ O
lain -X- _ O
kay -X- _ O
para -X- _ O
ra -X- _ O
na -X- _ O
sa -X- _ O
tag -X- _ O
iya -X- _ O
sa -X- _ O
sidewalk -X- _ O
lang -X- _ O
daw -X- _ O
mi -X- _ O
mag -X- _ O
park. -X- _ O
My -X- _ O
question -X- _ O
is -X- _ O
No. -X- _ O
1 -X- _ O
pwd -X- _ O
d -X- _ O
i -X- _ O
na -X- _ O
nga -X- _ O
anha -X- _ O
man -X- _ O
unta -X- _ O
mi -X- _ O
sa -X- _ O
ilaha -X- _ O
magpaayu -X- _ O
sa -X- _ O
among -X- _ O
gamit -X- _ O
but -X- _ O
dili -X- _ O
mi -X- _ O
nila -X- _ O
pa -X- _ O
parkingun. -X- _ O
No.2. -X- _ O
Asa -X- _ O
dapit -X- _ O
na -X- _ O
law -X- _ O
or -X- _ O
republic -X- _ O
sa -X- _ O
Pilipinas -X- _ B-LOC
ang -X- _ O
ga -X- _ O
ingun -X- _ O
na -X- _ O
pwd -X- _ O
ta -X- _ O
mag -X- _ O
park -X- _ O
sa -X- _ O
sidewalk -X- _ O
but -X- _ O
not -X- _ O
on -X- _ O
a -X- _ O
establishment -X- _ O
na -X- _ O
naay -X- _ O
vacant -X- _ O
na -X- _ O
dako -X- _ O
as -X- _ O
n -X- _ O
masulog -X- _ O
jud -X- _ O
ang -X- _ O
3 -X- _ O
ka -X- _ O
sakyanan -X- _ O
ug -X- _ O
dli -X- _ O
lang -X- _ O
sila -X- _ O
dalo. -X- _ O
Salamat -X- _ O
admin -X- _ O

Brutala -X- _ O
rapod -X- _ O
kaau -X- _ O
oy -X- _ O
. -X- _ O

Impossible -X- _ O
nis -X- _ O
Dumaguete -X- _ B-LOC

Fiesta -X- _ O
na -X- _ O
hapit -X- _ O
sa -X- _ O
Sibulan -X- _ B-LOC
! -X- _ O
Miss -X- _ B-MISC
Sibulan -X- _ I-MISC
tonight. -X- _ O
Photo -X- _ O
by -X- _ O
Jeben -X- _ O
Taob -X- _ O

magka -X- _ O
taas -X- _ O
ang -X- _ O
buwis -X- _ O
magka -X- _ O
mahal -X- _ O
na -X- _ O
ang -X- _ O
tanan -X- _ O
but -X- _ O
dile -X- _ O
rajapon -X- _ O
ta -X- _ O
maka -X- _ O
tilaw -X- _ O
sa -X- _ O
atung -X- _ O
tax -X- _ O
kay -X- _ O
ehem. -X- _ O
Sila -X- _ O
ray -X- _ O
ma -X- _ O
dato -X- _ O
. -X- _ O

# -X- _ O
awareness -X- _ O
Good -X- _ O
morning -X- _ O
Hope -X- _ O
you -X- _ O
can -X- _ O
help -X- _ O
us -X- _ O
to -X- _ O
promote -X- _ O
awareness -X- _ O
aning -X- _ O
mga -X- _ O
tindira -X- _ O
sa -X- _ O
isda -X- _ O
na -X- _ O
please -X- _ O
naman -X- _ O
be -X- _ O
reasonable -X- _ O
naman -X- _ O
asa -X- _ O
nila -X- _ O
gi -X- _ O
dispose -X- _ O
ilang -X- _ O
mga -X- _ O
tina-e -X- _ O
or -X- _ O
hasang -X- _ O
bana -X- _ O
sa -X- _ O
isa. -X- _ O
Usa -X- _ O
ka -X- _ O
sako -X- _ O
diri -X- _ O
dapit -X- _ O
sa -X- _ O
amoa -X- _ O
Batinguel -X- _ B-LOC
purok -X- _ I-LOC
7 -X- _ I-LOC
gilabay -X- _ O
, -X- _ O
ang -X- _ O
uban -X- _ O
anaa -X- _ O
sa -X- _ O
dapit -X- _ O
sa -X- _ O
katrina -X- _ B-LOC
home -X- _ I-LOC
sa -X- _ O
may -X- _ O
gate -X- _ O
then -X- _ O
ang -X- _ O
uban -X- _ O
anaa -X- _ O
sa -X- _ O
Camanjac. -X- _ B-LOC
Kani -X- _ O
na -X- _ O
pictures -X- _ O
this -X- _ O
morning -X- _ O
ra -X- _ O
gyod -X- _ O
ni -X- _ O
. -X- _ O

hello -X- _ O
admin -X- _ O
, -X- _ O
naa -X- _ O
lang -X- _ O
unta -X- _ O
koy -X- _ O
e -X- _ O
raise -X- _ O
ba -X- _ O
... -X- _ O
Nahitabo -X- _ O
ni -X- _ O
siya -X- _ O
last -X- _ O
week -X- _ O
, -X- _ O
katong -X- _ O
naa -X- _ O
ang -X- _ O
Birhen -X- _ B-MISC
sa -X- _ I-MISC
Simala -X- _ I-MISC
sa -X- _ O
Cathedral. -X- _ I-LOC
traffic -X- _ O
kaayo -X- _ O
ni -X- _ O
that -X- _ O
time -X- _ O
and -X- _ O
naa -X- _ O
ko -X- _ O
sa -X- _ O
