-DOCSTART- -X- O
Gitanggong -X- _ O
karon -X- _ O
sa -X- _ O
Carbon -X- _ B-LOC
Police -X- _ I-LOC
Station -X- _ I-LOC
ang -X- _ O
langyaw -X- _ O
nga -X- _ O
si -X- _ O
Ken -X- _ B-PER
. -X- _ O

Dihang -X- _ O
wa -X- _ O
nakahatag -X- _ O
og -X- _ O
igong -X- _ O
rason -X- _ O
nganong -X- _ O
kuyog -X- _ O
niya -X- _ O
ang -X- _ O
mga -X- _ O
bata -X- _ O
, -X- _ O
gi-turnover -X- _ O
si -X- _ O
Ken -X- _ B-PER
ngadto -X- _ O
sa -X- _ O
kapulisan -X- _ O
. -X- _ O

Hugot -X- _ O
nga -X- _ O
gipanghimakak -X- _ O
ni -X- _ O
Ken -X- _ B-PER
nga -X- _ O
duna -X- _ O
siyay -X- _ O
dautang -X- _ O
tuyo -X- _ O
sa -X- _ O
mga -X- _ O
bata -X- _ O
. -X- _ O

Matod -X- _ O
niya -X- _ O
, -X- _ O
lima -X- _ O
ka -X- _ O
tuig -X- _ O
na -X- _ O
siya -X- _ O
nga -X- _ O
nagbalik-balik -X- _ O
sa -X- _ O
Sugbo -X- _ B-LOC
aron -X- _ O
pagtabang -X- _ O
sa -X- _ O
pamilya -X- _ O
sa -X- _ O
maong -X- _ O
mga -X- _ O
bata -X- _ O
. -X- _ O

Nakurat -X- _ O
na -X- _ O
lang -X- _ O
siya -X- _ O
nga -X- _ O
gi-hold -X- _ O
sila -X- _ O
diha -X- _ O
sa -X- _ O
terminal -X- _ O
. -X- _ O

Giklaro -X- _ O
sab -X- _ O
niya -X- _ O
nga -X- _ O
upat -X- _ O
lang -X- _ O
sa -X- _ O
iyang -X- _ O
kuyog -X- _ O
ang -X- _ O
menor -X- _ O
de -X- _ O
edad -X- _ O
samtang -X- _ O
ang -X- _ O
duha -X- _ O
nag-edad -X- _ O
na -X- _ O
og -X- _ O
19 -X- _ O
ug -X- _ O
18 -X- _ O
anyos -X- _ O
. -X- _ O

Nagsugod -X- _ O
ang -X- _ O
panaghigala­ay -X- _ O
nila -X- _ O
ni -X- _ O
Ken -X- _ B-PER
sa -X- _ O
pamilya -X- _ O
dihang -X- _ O
nakaila -X- _ O
niya -X- _ O
sa -X- _ O
internet -X- _ O
ang -X- _ O
inahan -X- _ O
sa -X- _ O
mga -X- _ O
bata -X- _ O
lima -X- _ O
ka -X- _ O
tuig -X- _ O
na -X- _ O
ang -X- _ O
nakalabay -X- _ O
. -X- _ O

Bisan -X- _ O
og -X- _ O
naminyo -X- _ O
ug -X- _ O
nakaanak -X- _ O
na -X- _ O
kini -X- _ O
, -X- _ O
nagpadayon -X- _ O
ang -X- _ O
ilang -X- _ O
panaghigalaay -X- _ O
. -X- _ O

Gani -X- _ O
lakip -X- _ O
ang -X- _ O
mga -X- _ O
ginikanan -X- _ O
sa -X- _ O
ilang -X- _ O
ikakuyog -X- _ O
sa -X- _ O
Moalboal -X- _ B-LOC
ug -X- _ O
ila -X- _ O
lang -X- _ O
kining -X- _ O
hapiton -X- _ O
sa -X- _ O
Siyudad -X- _ O
sa -X- _ O
Naga -X- _ B-LOC
kon -X- _ O
nakadayon -X- _ O
pa -X- _ O
lang -X- _ O
unta -X- _ O
sila -X- _ O
sa -X- _ O
pagsakay -X- _ O
og -X- _ O
bus -X- _ O
sa -X- _ O
terminal -X- _ O
. -X- _ O

Gihimug-atan -X- _ O
sa -X- _ O
langyaw -X- _ O
nga -X- _ O
di -X- _ O
lang -X- _ O
ang -X- _ O
maong -X- _ O
pamilya -X- _ O
ang -X- _ O
iyang -X- _ O
natabangan -X- _ O
. -X- _ O

Gani -X- _ O
naka-volunteer -X- _ O
siya -X- _ O
ug -X- _ O
