-DOCSTART- -X- O
Aduna'y -X- _ O
pagsaka -X- _ O
sa -X- _ O
presyo -X- _ O
sa -X- _ O
lana -X- _ O
, -X- _ O
epektibo -X- _ O
sa -X- _ O
Martes -X- _ O
, -X- _ O
Hunyo -X- _ O
27 -X- _ O
, -X- _ O
2023 -X- _ O
. -X- _ O

MOTORISTA -X- _ O
, -X- _ O
PATAY -X- _ O
HUMAN -X- _ O
MALIGSAN -X- _ O
ANG -X- _ O
ULO -X- _ O
SA -X- _ O
10-WHEELER -X- _ O
DUMP -X- _ O
TRUCK -X- _ O
Patay -X- _ O
ang -X- _ O
usa -X- _ O
ka -X- _ O
motorista -X- _ O
sa -X- _ O
usa -X- _ O
ka -X- _ O
vehicular -X- _ O
accident -X- _ O
ang -X- _ O
nahitabo -X- _ O
sa -X- _ O
Barangay -X- _ B-LOC
Caidiocan -X- _ I-LOC
sa -X- _ O
Valencia -X- _ B-LOC
mga -X- _ O
alas-6:20 -X- _ O
sa -X- _ O
gabii -X- _ O
niadtong -X- _ O
Sabado -X- _ O
, -X- _ O
Hunyo -X- _ O
24,2023. -X- _ O
Giila -X- _ O
ang -X- _ O
biktima -X- _ O
nga -X- _ O
si -X- _ O
Ruperto -X- _ B-PER
Solamillo -X- _ I-PER
Ausejo -X- _ I-PER
Jr. -X- _ I-PER
, -X- _ O
46 -X- _ O
anyos -X- _ O
, -X- _ O
ulitawo -X- _ O
, -X- _ O
ug -X- _ O
lumolupyo -X- _ O
sa -X- _ O
Barangay -X- _ B-LOC
Pulang -X- _ I-LOC
Bato -X- _ I-LOC
sa -X- _ O
naasoy -X- _ O
nga -X- _ O
lungsod. -X- _ O
Sumala -X- _ O
pa -X- _ O
sa -X- _ O
imbestigasyon -X- _ O
sa -X- _ O
kapulisan -X- _ O
sa -X- _ O
Valencia -X- _ B-LOC
, -X- _ O
nagbiyahe -X- _ O
ang -X- _ O
duha -X- _ O
sa -X- _ O
managlahing -X- _ O
direksyon. -X- _ O
Pag-abot -X- _ O
sa -X- _ O
nahisgutang -X- _ O
lugar -X- _ O
, -X- _ O
ni-overtake -X- _ O
si -X- _ O
Ausejo -X- _ B-PER
sa -X- _ O
truck -X- _ O
ug -X- _ O
nawad-an -X- _ O
og -X- _ O
kontrol -X- _ O
sa -X- _ O
gimanehong -X- _ O
motorsiklo -X- _ O
nga -X- _ O
niresulta -X- _ O
sa -X- _ O
iyang -X- _ O
pagkatumba -X- _ O
sa -X- _ O
karsada. -X- _ O
Tungod -X- _ O
niini -X- _ O
, -X- _ O
aksidenteng -X- _ O
naligsan -X- _ O
sa -X- _ O
10-wheeler -X- _ O
dump -X- _ O
truck -X- _ O
ang -X- _ O
ulo -X- _ O
sa -X- _ O
biktima -X- _ O
hinungdan -X- _ O
sa -X- _ O
iyang -X- _ O
hinanaling -X- _ O
kamatayon -X- _ O
. -X- _ O

9 -X- _ O
KA -X- _ O
MAYOR -X- _ O
SA -X- _ O
NEGOR -X- _ B-LOC
, -X- _ O
NANAWAGAN -X- _ O
NGA -X- _ O
I-POSTPONE -X- _ O
ANG -X- _ O
BARANGAY -X- _ O
, -X- _ O
SK -X- _ B-OTHER
ELECTION -X- _ I-OTHER
Nipadayag -X- _ O
og -X- _ O
suporta -X- _ O
ang -X- _ O
siyam -X- _ O
ka -X- _ O
mga -X- _ O
mayor -X- _ O
sa -X- _ O
Negros -X- _ B-LOC
